,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,414.371,550.05,2024.184,,59535.39657,11.001,48815.104,,,36.67,88202.351,30821.135,,,91000.272,161.348,44.004,,22295.36,575.719,410.704,,,44.004,157.681,1004.758,46908.264,172.349,333.697,,,88.008,192895.201,466533.4096,19523.108,,13490.893,780726.302,462.042,271.358,2321.211,223.687,16409.825,11.001,22.002,491.378,5878.201,13699.912,,11.001,887.414,,,40.337,11.001,29779.707,1041.428,6160.56,852797.3247,582183.3655,1210071.825,,,1763.827,16054.126,,,48928.781,,352.032,2359594.886,33985.80584,15104.373,194.351,271218.654,58.672,,132.012,584299.78,,1463.133,47.671,410.704,18.335,18.335,22.002,9405.855,22.002,223.687,1345.789,,660.06,5713366.066,2955.602,616.056,19753.66547,,286.026,45371.791,2555222.28,2646764.144,85283.54624,46104.28094
1961,491.378,454.708,2280.874,,65119.82117,11.001,51180.319,,,47.671,90589.568,31862.563,,,92793.435,128.345,91.675,,25973.361,1771.161,546.383,,,36.67,176.016,1041.428,49203.806,194.351,304.361,,,88.008,194182.318,491649.8461,20388.52,,14473.649,552066.85,553.717,282.359,2357.881,267.691,18217.656,11.001,22.002,491.378,8804.467,12181.774,,11.001,865.412,,,44.004,11.001,31734.218,1030.427,6065.218,623027.4699,606142.9381,1041180.505,,,1646.483,17088.22,,,53677.546,,341.031,2445945.664,35050.01654,14939.358,168.682,281211.229,113.677,,165.015,588938.535,,1345.789,51.338,616.056,22.002,29.336,22.002,9823.893,18.335,293.36,1408.128,,737.067,5838410.405,3373.64,737.067,20809.07057,,297.027,48976.452,2274746.851,2365642.325,87030.78015,48872.21073
1962,689.396,1180.774,2464.224,,74322.01361,18.335,53695.881,,,102.676,94912.961,33905.082,,44.004,98117.919,135.679,84.341,,30736.794,1591.478,726.066,,,69.673,157.681,1100.1,53695.881,260.357,370.367,,,73.34,207185.5,526298.9059,24154.529,,16725.187,440359.029,586.72,289.693,2174.531,238.355,19442.434,11.001,18.335,550.05,11771.07,14169.288,,11.001,905.749,,,47.671,11.001,36926.69,1243.113,5669.182,509627.2828,641190.7884,948555.1623,,,1565.809,18595.357,,,60054.459,,396.036,2587255.911,36966.84797,16809.528,231.021,298706.486,117.344,,88.008,593360.937,,1433.797,55.005,660.06,25.669,40.337,22.002,10164.924,25.669,264.024,1382.459,,678.395,6109990.312,3685.335,700.397,20844.25074,,304.361,50560.596,2200051.065,2296576.156,94349.5182,53761.71306
1963,707.731,1151.438,2082.856,,87853.78623,22.002,50083.886,,,84.341,101029.517,36992.696,,47.671,105781.949,121.011,88.008,,34411.128,1195.442,707.731,,,62.339,150.347,1213.777,55617.389,190.684,355.699,,,73.34,211109.19,569115.7392,29104.979,,17355.911,436695.696,623.39,300.694,2295.542,234.688,21257.599,11.001,14.668,601.388,5984.544,13039.852,,11.001,986.423,,,66.006,14.668,40707.367,1250.447,5427.16,506657.0519,671869.7177,991794.6225,,,1796.83,21554.626,,,58822.347,,421.705,2763661.258,37422.80398,19358.093,242.022,334019.696,124.678,,73.34,603822.888,,1723.49,55.005,696.73,29.336,47.671,25.669,12258.781,14.668,330.03,1521.805,,616.056,6452882.159,4250.053,711.398,22041.74242,,249.356,56281.116,2270760.778,2373491.276,101042.0511,61046.53924
1964,839.743,1224.778,2016.85,,103146.744,18.335,55727.399,,,91.675,108979.573,38943.54,,47.671,103662.423,143.013,110.01,,42863.563,1598.812,1085.432,,,84.341,201.685,1481.468,56735.824,179.683,341.031,,,73.34,237801.283,611356.7764,28166.227,,17524.593,436923.05,762.736,337.364,1976.513,267.691,21708.64,11.001,29.336,674.728,10652.635,14293.966,,11.001,1001.091,,,84.341,14.668,43189.926,1749.159,5650.847,513528.312,716683.6045,1046001.613,,,2145.195,25522.32,,,64410.855,,407.037,2879590.411,39474.60599,22852.744,425.372,345303.055,121.011,,190.684,608355.3,,1650.15,55.005,700.397,29.336,58.672,25.669,13223.202,22.002,315.362,1771.161,,649.059,6782010.521,4224.384,722.399,23976.15205,,300.694,62401.339,2382070.073,2495119.877,112227.1035,67578.54936
1965,1008.425,1188.108,2174.531,,123768.7553,22.002,58866.351,,,150.347,120966.996,38188.138,,36.67,105440.918,150.347,102.676,,46317.877,1228.445,1316.453,,,84.341,179.683,1510.804,56398.46,205.352,333.697,,,88.008,252153.921,630347.3828,30370.094,,17766.615,475972.933,1173.44,311.695,2471.558,245.689,22885.747,14.668,25.669,847.077,11917.75,14609.328,,11.001,1151.438,,,121.011,14.668,44337.697,1547.474,6596.933,558536.9528,768296.144,1134631.207,,,2277.207,27641.846,,,71117.798,,645.392,2977005.808,52451.8305,25327.969,344.698,351852.317,135.679,,216.353,622619.93,,1705.155,47.671,696.73,29.336,66.006,29.336,17025.881,22.002,344.698,1976.513,,1078.098,7081545.937,4807.437,751.735,28009.34973,,304.361,61293.905,2555483.97,2682994.297,126934.5792,77835.35105
1966,1092.766,1554.808,2552.232,,139012.3876,25.669,63138.406,,,348.365,120332.605,39258.902,,47.671,105206.23,113.677,102.676,,48767.433,649.059,1092.766,,,80.674,201.685,1690.487,64304.512,267.691,491.378,,,84.341,259319.239,650420.2725,31528.866,,18793.375,522789.522,1294.451,344.698,2405.552,308.028,23501.803,18.335,22.002,993.757,11756.402,15185.047,,18.335,1243.113,,,139.346,14.668,50127.89,1672.152,8430.433,616280.8899,807440.4858,1230384.455,,,2420.22,26563.748,,,77729.399,,825.075,3066068.197,65592.31442,29519.35,322.696,347235.564,139.346,,381.368,618564.228,,1441.131,55.005,718.732,33.003,66.006,25.669,18650.362,29.336,388.702,1741.825,,1180.774,7391949.92,5166.803,806.74,29217.45041,,304.361,61733.945,2738793.254,2873778.042,134285.3931,82689.61313
